Country,Region,Status,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Adult_mortality_cat,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,GDP_per_capita_cat,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Schooling_cat,Life_expectancy
Algeria,Africa,Developing,2003,31.3,36.5,127.5385,Bajo,0.33,81,96,24.5,87,87,0.01,3490,Medio,32.26,6.3,6.1,6.5,Medio,72.1
Algeria,Africa,Developing,2004,30.1,35.1,123.162,Bajo,0.45,81,94,24.6,86,86,0.02,3593,Medio,32.69,6.2,6.1,6.7,Medio,72.6
Algeria,Africa,Developing,2005,28.8,33.6,118.7855,Bajo,0.5,83,94,24.7,88,88,0.02,3752,Medio,33.15,6.1,6,6.9,Medio,73.1
Algeria,Africa,Developing,2006,27.6,32.1,114.4095,Bajo,0.38,80,98,24.7,95,95,0.02,3760,Medio,33.64,6.1,6,7,Medio,73.5
Algeria,Africa,Developing,2007,26.4,30.7,110.033,Bajo,0.34,90,95,24.8,95,95,0.02,3828,Medio,34.17,6,5.9,7.2,Medio,73.9
Algeria,Africa,Developing,2008,25.3,29.5,108.0665,Bajo,0.37,91,96,24.9,92,93,0.02,3856,Medio,34.73,6,5.9,6.7,Medio,74.3
Algeria,Africa,Developing,2009,24.4,28.4,106.1,Bajo,0.43,94,98,25,94,95,0.02,3851,Medio,35.33,6,5.9,6.9,Medio,74.6
Algeria,Africa,Developing,2010,23.6,27.4,104.1335,Bajo,0.35,95,95,25.1,95,95,0.02,3918,Medio,35.98,5.9,5.8,7.1,Medio,74.9
Algeria,Africa,Developing,2011,22.9,26.7,102.167,Bajo,0.4,95,96,25.1,95,95,0.02,3957,Medio,36.66,5.9,5.8,7.4,Medio,75.2
Algeria,Africa,Developing,2012,22.5,26.2,100.2005,Bajo,0.43,95,95,25.2,95,95,0.03,4012,Medio,37.38,5.9,5.8,7.6,Medio,75.4
Algeria,Africa,Developing,2013,22.1,25.8,98.739,Bajo,0.5,95,93,25.3,95,95,0.03,4043,Medio,38.14,5.9,5.8,7.8,Medio,75.7
Algeria,Africa,Developing,2014,21.9,25.5,97.277,Bajo,0.54,95,99,25.4,95,95,0.04,4112,Medio,38.92,6,5.8,7.9,Medio,75.9
Algeria,Africa,Developing,2015,21.6,25.2,95.8155,Bajo,0.55,95,99,25.5,95,95,0.05,4178,Medio,39.73,6,5.8,7.9,Medio,76.1
Angola,Africa,Developing,2000,121.5,204.4,371.4315,Alto,1.47,67,64,21.7,21,28,1.24,1832,Bajo,16.4,10.9,10.9,4.4,Bajo,46.5
Angola,Africa,Developing,2001,118.2,198.4,361.129,Alto,1.94,67,64,21.8,28,38,1.36,1847,Bajo,16.95,10.7,10.7,4.4,Bajo,47.1
Angola,Africa,Developing,2002,114.5,191.5,350.8275,Alto,2.08,67,64,21.9,22,41,1.39,2031,Bajo,17.52,10.5,10.5,4.4,Bajo,47.7
Angola,Africa,Developing,2003,110.4,183.8,340.0665,Alto,2.2,67,64,22,21,40,1.43,2022,Bajo,18.12,10.4,10.3,4.4,Bajo,48.4
Angola,Africa,Developing,2004,105.7,175.1,329.306,Alto,2.41,67,64,22.2,18,40,1.45,2168,Bajo,18.76,10.2,10.1,4.4,Bajo,49.3
Angola,Africa,Developing,2005,100.9,166.1,318.546,Alto,3.49,67,64,22.3,14,38,1.49,2407,Medio,19.43,10,9.9,4.4,Bajo,50.2
Angola,Africa,Developing,2006,95.7,156.4,307.785,Alto,4.02,67,64,22.4,8,34,1.48,2589,Medio,20.15,9.8,9.7,4.5,Bajo,51.1
Angola,Africa,Developing,2007,90.6,147,297.0245,Alto,4.68,73,64,22.5,43,73,1.45,2845,Medio,20.91,9.6,9.6,4.5,Bajo,52.2
Angola,Africa,Developing,2008,85.5,137.7,288.09,Alto,5.19,69,64,22.6,36,69,1.41,3048,Medio,21.7,9.5,9.4,4.6,Bajo,53.2
Angola,Africa,Developing,2009,80.6,128.7,279.156,Alto,6.12,61,64,22.7,36,60,1.39,2962,Medio,22.51,9.3,9.2,4.7,Bajo,54.3
Angola,Africa,Developing,2010,75.9,120.4,270.221,Alto,7.58,77,64,22.8,56,77,1.33,2994,Medio,23.36,9.1,9,4.7,Bajo,55.4
Angola,Africa,Developing,2011,71.5,112.5,261.2865,Alto,7.66,72,64,22.9,50,71,1.25,2988,Medio,24.22,8.9,8.8,4.7,Bajo,56.3
Angola,Africa,Developing,2012,67.4,105.1,252.352,Alto,7.83,75,64,23,54,75,1.21,3128,Medio,25.11,8.8,8.6,4.8,Bajo,57.2
Angola,Africa,Developing,2013,63.7,98.5,249.2235,Alto,7.67,77,64,23.1,48,77,1.12,3169,Medio,26.02,8.6,8.5,4.9,Bajo,58.1
Angola,Africa,Developing,2014,60.5,92.9,246.0945,Alto,8.1,64,64,23.2,55,64,0.97,3207,Medio,26.94,8.5,8.3,4.9,Bajo,58.8
Angola,Africa,Developing,2015,57.7,88.1,242.9655,Alto,6.53,64,64,23.2,62,64,0.89,3128,Medio,27.88,8.3,8.2,5,Bajo,59.4
Antigua and Barbuda,Central America and Caribbean,Developing,2000,12.6,15.5,156.232,Medio,6.86,98,58,25.1,96,95,0.1,14070,Alto,0.08,3.7,3.6,7,Medio,73.9
Antigua and Barbuda,Central America and Caribbean,Developing,2001,12.3,15.1,154.2495,Medio,6.85,96,60,25.2,99,97,0.1,13220,Alto,0.08,3.6,3.5,8.9,Medio,74.2
Antigua and Barbuda,Central America and Caribbean,Developing,2002,11.9,14.6,152.267,Medio,6.67,99,56,25.3,93,98,0.1,13171,Alto,0.08,3.6,3.5,9,Medio,74.4
Antigua and Barbuda,Central America and Caribbean,Developing,2003,11.5,14.1,150.412,Medio,6.91,99,59,25.4,99,99,0.1,13793,Alto,0.08,3.5,3.5,9,Medio,74.6
Antigua and Barbuda,Central America and Caribbean,Developing,2004,11,13.5,148.5575,Medio,6.72,97,64,25.5,97,97,0.1,14400,Alto,0.08,3.5,3.4,9.1,Medio,74.8
Antigua and Barbuda,Central America and Caribbean,Developing,2005,10.6,12.9,146.703,Medio,7.44,99,46,25.6,98,99,0.1,15122,Alto,0.08,3.5,3.4,9.1,Medio,75
Antigua and Barbuda,Central America and Caribbean,Developing,2006,10.1,12.3,144.8485,Medio,7.7,99,68,25.7,99,99,0.1,16786,Alto,0.08,3.4,3.4,9.2,Medio,75.2
Antigua and Barbuda,Central America and Caribbean,Developing,2007,9.6,11.7,142.994,Medio,8.11,97,78,25.8,98,99,0.1,18062,Alto,0.08,3.4,3.3,9.2,Medio,75.4
Antigua and Barbuda,Central America and Caribbean,Developing,2008,9.2,11.1,141.2655,Medio,8.41,98,83,25.9,99,99,0.1,17771,Alto,0.09,3.4,3.3,9.3,Medio,75.5
Antigua and Barbuda,Central America and Caribbean,Developing,2009,8.7,10.6,139.537,Medio,7.64,98,94,26,98,99,0.1,15402,Alto,0.09,3.4,3.3,9.3,Medio,75.7
Antigua and Barbuda,Central America and Caribbean,Developing,2010,8.3,10,137.808,Medio,7.16,98,92,26.1,99,98,0.1,13987,Alto,0.09,3.3,3.3,9.2,Medio,75.8
Antigua and Barbuda,Central America and Caribbean,Developing,2011,7.9,9.5,136.0795,Medio,7.24,99,89,26.2,99,99,0.1,13525,Alto,0.09,3.3,3.3,9.2,Medio,76
Antigua and Barbuda,Central America and Caribbean,Developing,2012,7.5,9,134.3515,Medio,8.22,98,90,26.3,97,98,0.2,13803,Alto,0.09,3.3,3.3,9.2,Medio,76.1
Antigua and Barbuda,Central America and Caribbean,Developing,2013,7.1,8.5,132.9015,Medio,9.43,99,87,26.4,98,99,0.2,13554,Alto,0.09,3.3,3.3,9.2,Medio,76.2
Antigua and Barbuda,Central America and Caribbean,Developing,2014,6.8,8.1,131.452,Medio,9.66,99,99,26.5,96,99,0.2,13909,Alto,0.09,3.3,3.3,9.2,Medio,76.3
Antigua and Barbuda,Central America and Caribbean,Developing,2015,6.5,7.8,130.0025,Medio,9.06,99,84,26.6,86,99,0.2,14285,Alto,0.09,3.3,3.3,9.2,Medio,76.5
Argentina,South America,Developing,2000,17.5,19.6,139.3255,Medio,7.68,73,56,26.1,88,83,0.16,10731,Alto,36.87,1.2,1.1,9.1,Medio,73.6
Argentina,South America,Developing,2001,16.9,18.9,137.696,Medio,7.76,73,56,26.2,85,83,0.16,10146,Alto,37.28,1.2,1.1,9.1,Medio,73.8
Argentina,South America,Developing,2002,16.4,18.3,136.066,Medio,7.81,66,83,26.3,94,93,0.15,8943,Alto,37.68,1.2,1,9.2,Medio,73.9
Argentina,South America,Developing,2003,15.8,17.7,134.5355,Medio,7.62,73,80,26.4,95,96,0.15,9630,Alto,38.09,1.2,1,9.3,Medio,74.1
Argentina,South America,Developing,2004,15.3,17.1,133.0055,Medio,7.63,81,93,26.5,91,98,0.15,10389,Alto,38.49,1.1,1,9.2,Medio,74.3
Argentina,South America,Developing,2005,14.8,16.5,131.475,Medio,7.6,88,88,26.6,95,98,0.15,11192,Alto,38.89,1.1,1,9.1,Medio,74.5
Argentina,South America,Developing,2006,14.4,16.1,129.945,Medio,7.8,84,91,26.7,92,91,0.15,11971,Alto,39.29,1.1,0.9,9,Medio,74.6
Argentina,South America,Developing,2007,14,15.7,128.4145,Bajo,8.16,85,84,26.8,92,91,0.15,12919,Alto,39.68,1.1,0.9,8.9,Medio,74.8
Argentina,South America,Developing,2008,13.7,15.3,126.9785,Bajo,8.42,90,88,26.9,94,93,0.15,13311,Alto,40.08,1,0.9,8.9,Medio,75
Argentina,South America,Developing,2009,13.3,14.9,125.542,Bajo,8.34,94,96,27,97,94,0.14,12398,Alto,40.48,1,0.9,9.3,Medio,75.1
Argentina,South America,Developing,2010,12.9,14.5,124.1055,Bajo,8.15,94,94,27.1,95,94,0.14,13551,Alto,40.79,1,0.9,9.8,Alto,75.3
Argentina,South America,Developing,2011,12.4,13.9,122.669,Bajo,7.69,91,91,27.2,93,91,0.14,14200,Alto,41.26,1,0.9,9.8,Alto,75.4
Argentina,South America,Developing,2012,11.9,13.3,121.2325,Bajo,8,91,89,27.3,90,91,0.14,13896,Alto,41.73,1,0.9,9.8,Alto,75.6
Argentina,South America,Developing,2013,11.3,12.7,119.885,Bajo,8.27,94,83,27.4,90,94,0.14,14072,Alto,42.2,1,0.9,9.8,Alto,75.8
Argentina,South America,Developing,2014,10.8,12.1,118.5375,Bajo,7.93,94,96,27.5,92,94,0.13,13568,Alto,42.67,1,0.9,9.8,Alto,75.9
Argentina,South America,Developing,2015,10.2,11.5,117.1895,Bajo,8.49,94,87,27.6,93,94,0.13,13789,Alto,43.13,1,0.9,9.8,Alto,76.1
Armenia,Rest of Europe,Developing,2000,27,30.6,149.064,Medio,2.91,55,94,25.7,96,93,0.08,1290,Bajo,3.07,2.1,2.2,10.8,Alto,71.4
Armenia,Rest of Europe,Developing,2001,25.7,29.1,143.7555,Medio,2.87,69,96,25.7,97,94,0.08,1422,Bajo,3.05,2.1,2.1,10.7,Alto,71.8
Armenia,Rest of Europe,Developing,2002,24.5,27.7,138.447,Medio,2.87,91,95,25.7,96,94,0.08,1619,Bajo,3.03,2.1,2.1,10.8,Alto,72.1
Armenia,Rest of Europe,Developing,2003,23.3,26.3,139.9,Medio,3,93,93,25.8,96,94,0.08,1856,Bajo,3.02,2,2.1,10.8,Alto,72.3
Armenia,Rest of Europe,Developing,2004,22.2,25,141.353,Medio,3.73,91,94,25.8,93,91,0.08,2062,Bajo,3,2,2.1,10.8,Alto,72.5
Armenia,Rest of Europe,Developing,2005,21.1,23.7,142.8055,Medio,4.17,91,92,25.8,92,90,0.08,2364,Medio,2.98,2,2.1,10.9,Alto,72.6
Armenia,Rest of Europe,Developing,2006,20,22.5,144.2585,Medio,3.99,78,85,25.9,87,87,0.08,2697,Medio,2.96,2,2.1,10.9,Alto,72.7
Armenia,Rest of Europe,Developing,2007,19,21.4,145.711,Medio,3.91,85,93,25.9,90,88,0.08,3093,Medio,2.93,2,2.1,11,Alto,72.8
Armenia,Rest of Europe,Developing,2008,18.1,20.3,142.5365,Medio,3.96,89,94,25.9,91,89,0.08,3335,Medio,2.91,2,2.1,11,Alto,72.9
Armenia,Rest of Europe,Developing,2009,17.2,19.2,139.3615,Medio,3.97,93,96,26,94,93,0.08,2884,Medio,2.89,2,2.1,11.1,Alto,73.1
Armenia,Rest of Europe,Developing,2010,16.3,18.3,136.1865,Medio,4.23,94,97,26,96,94,0.08,2959,Medio,2.88,2,2.1,11.1,Alto,73.3
Armenia,Rest of Europe,Developing,2011,15.5,17.3,133.0115,Medio,4.07,95,98,26.1,96,95,0.08,3099,Medio,2.88,2,2.1,11.2,Alto,73.6
Armenia,Rest of Europe,Developing,2012,14.7,16.4,129.837,Medio,3.89,95,97,26.1,96,95,0.08,3313,Medio,2.88,2,2.1,11.3,Alto,73.8
Armenia,Rest of Europe,Developing,2013,14,15.6,128.387,Bajo,3.92,95,97,26.2,96,95,0.08,3407,Medio,2.9,2.1,2.1,11.4,Alto,74.1
Armenia,Rest of Europe,Developing,2014,13.3,14.8,126.937,Bajo,4.22,93,97,26.2,95,93,0.08,3511,Medio,2.91,2.1,2.1,11.5,Alto,74.3
Armenia,Rest of Europe,Developing,2015,12.6,14.1,125.4875,Bajo,4.04,94,97,26.3,96,94,0.09,3607,Medio,2.93,2.1,2.2,11.6,Alto,74.5
Australia,Oceania,Developed,2000,5.1,6.2,77.0385,Bajo,10.17,95,85,26.2,90,90,0.04,45559,Alto,19.15,0.7,0.7,11.9,Alto,79.2
Australia,Oceania,Developed,2001,5,6.1,73.7145,Bajo,9.53,94,85,26.3,91,92,0.04,45865,Alto,19.41,0.7,0.7,11.9,Alto,79.6
Australia,Oceania,Developed,2002,5,6,71.935,Bajo,9.84,95,85,26.4,92,92,0.04,47127,Alto,19.65,0.7,0.7,11.8,Alto,79.9
Australia,Oceania,Developed,2003,4.9,5.9,69.879,Bajo,9.97,95,86,26.5,92,93,0.05,47997,Alto,19.9,0.7,0.7,11.8,Alto,80.2
Australia,Oceania,Developed,2004,4.8,5.8,67.92,Bajo,9.84,95,85,26.6,92,92,0.05,49439,Alto,20.13,0.7,0.6,11.8,Alto,80.5
Australia,Oceania,Developed,2005,4.8,5.7,66.521,Bajo,10.3,95,85,26.7,92,92,0.05,50333,Alto,20.39,0.7,0.6,11.7,Alto,80.8
Australia,Oceania,Developed,2006,4.7,5.6,65.59,Bajo,10.31,95,87,26.7,92,92,0.05,50948,Alto,20.7,0.7,0.6,11.9,Alto,81
Australia,Oceania,Developed,2007,4.5,5.4,66.424,Bajo,10.56,94,89,26.8,92,92,0.05,52539,Alto,20.83,0.7,0.6,12,Alto,81.3
Australia,Oceania,Developed,2008,4.4,5.2,64.318,Bajo,10.76,94,80,26.8,92,92,0.05,53339,Alto,21.25,0.7,0.6,12.3,Alto,81.4
Australia,Oceania,Developed,2009,4.2,5,64.839,Bajo,10.62,94,82,26.9,92,92,0.05,53226,Alto,21.69,0.7,0.6,12.3,Alto,81.5
Australia,Oceania,Developed,2010,4,4.8,62.169,Bajo,10.52,92,88,26.9,92,92,0.05,53543,Alto,22.03,0.7,0.6,12.4,Alto,81.7
Australia,Oceania,Developed,2011,3.8,4.5,62.175,Bajo,10.3,92,90,27,92,92,0.05,54108,Alto,22.34,0.6,0.6,12.5,Alto,81.9
Australia,Oceania,Developed,2012,3.6,4.3,60.0415,Bajo,10.03,91,91,27,92,92,0.05,55255,Alto,22.73,0.6,0.6,12.6,Alto,82
Australia,Oceania,Developed,2013,3.5,4.1,60.215,Bajo,10,91,92,27,91,91,0.05,55724,Alto,23.13,0.6,0.6,12.6,Alto,82.1
Australia,Oceania,Developed,2014,3.4,4,60.8255,Bajo,9.9,91,93,27.1,92,92,0.04,56306,Alto,23.48,0.6,0.6,12.7,Alto,82.3
Australia,Oceania,Developed,2015,3.3,3.9,61.7325,Bajo,9.68,93,93,27.1,93,93,0.04,56707,Alto,23.82,0.6,0.6,12.8,Alto,82.4
Austria,European Union,Developed,2000,4.6,5.5,94.882,Bajo,13.35,33,35,25,71,81,0.08,38843,Alto,8.01,1.7,1.9,9,Medio,78.1
Austria,European Union,Developed,2001,4.5,5.4,91.5155,Bajo,12.35,44,34,25,83,84,0.08,39185,Alto,8.04,1.7,1.9,9.2,Medio,78.6
Austria,European Union,Developed,2002,4.4,5.3,89.4275,Bajo,12.09,81,39,25.1,82,83,0.08,39636,Alto,8.08,1.7,1.9,9.4,Medio,78.7
Austria,European Union,Developed,2003,4.3,5.2,87.6535,Bajo,12.31,83,46,25.1,84,84,0.08,39815,Alto,8.12,1.7,1.9,9.6,Alto,78.6
Austria,European Union,Developed,2004,4.2,5.1,84.8235,Bajo,12.17,83,47,25.2,83,83,0.08,40651,Alto,8.17,1.7,1.9,9.8,Alto,79.2
Austria,European Union,Developed,2005,4.1,4.9,83.48,Bajo,12.14,86,54,25.2,86,86,0.08,41281,Alto,8.23,1.7,1.9,9.9,Alto,79.3
Austria,European Union,Developed,2006,3.9,4.7,78.393,Bajo,12.58,83,61,25.3,83,83,0.08,42496,Alto,8.27,1.7,1.9,10.1,Alto,79.9
Austria,European Union,Developed,2007,3.8,4.6,78.0555,Bajo,12.54,85,56,25.3,85,85,0.08,43938,Alto,8.3,1.7,1.9,11.6,Alto,80.2
Austria,European Union,Developed,2008,3.8,4.5,74.9395,Bajo,12.03,83,62,25.3,83,83,0.08,44440,Alto,8.32,1.7,1.9,11.5,Alto,80.4
Austria,European Union,Developed,2009,3.7,4.5,76.57,Bajo,11.87,83,64,25.4,83,83,0.08,42655,Alto,8.34,1.7,1.9,11.7,Alto,80.3
Austria,European Union,Developed,2010,3.6,4.3,74.502,Bajo,12.1,86,69,25.4,86,86,0.08,43335,Alto,8.36,1.7,1.9,11.8,Alto,80.6
Austria,European Union,Developed,2011,3.5,4.2,71.8545,Bajo,11.9,89,73,25.4,89,89,0.08,44451,Alto,8.39,1.7,2,11.8,Alto,81
Austria,European Union,Developed,2012,3.3,4,69.0215,Bajo,12.1,92,78,25.5,92,92,0.08,44550,Alto,8.43,1.8,2,11.8,Alto,80.9
Austria,European Union,Developed,2013,3.2,3.9,67.3475,Bajo,12.1,95,82,25.5,95,95,0.08,44299,Alto,8.48,1.8,2,11.9,Alto,81.1
Austria,European Union,Developed,2014,3.1,3.8,65.815,Bajo,12.4,98,87,25.5,98,98,0.08,44245,Alto,8.55,1.8,2,12.1,Alto,81.5
Austria,European Union,Developed,2015,3,3.7,64.6875,Bajo,11.6,93,88,25.5,93,93,0.08,44196,Alto,8.64,1.9,2.1,12.1,Alto,81.2
Azerbaijan,Asia,Developing,2000,60.9,74.4,169.5265,Medio,0.66,50,66,25.6,75,76,0.12,1481,Bajo,8.05,3.2,3.1,10.6,Alto,66.8
Azerbaijan,Asia,Developing,2001,57.2,69.3,166.736,Medio,0.5,50,65,25.6,77,77,0.16,1615,Bajo,8.11,3.1,3.1,10.6,Alto,67.1
Azerbaijan,Asia,Developing,2002,53.5,64.3,163.946,Medio,0.55,50,67,25.7,80,76,0.18,1754,Bajo,8.17,3.1,3.1,10.6,Alto,67.4
Azerbaijan,Asia,Developing,2003,50.1,59.7,159.492,Medio,0.55,51,66,25.8,79,77,0.2,1919,Bajo,8.23,3,3,10.6,Alto,67.8
Azerbaijan,Asia,Developing,2004,47,55.6,155.0385,Medio,0.63,50,67,25.9,78,77,0.2,2078,Bajo,8.31,3,3,10.6,Alto,68.2
Azerbaijan,Asia,Developing,2005,44.1,51.9,150.584,Medio,0.73,49,67,26,79,75,0.19,2632,Medio,8.39,2.9,3,10.7,Alto,68.7
Azerbaijan,Asia,Developing,2006,41.5,48.6,146.13,Medio,0.85,52,68,26,80,78,0.17,3501,Medio,8.48,2.9,2.9,10.7,Alto,69.3
Azerbaijan,Asia,Developing,2007,39.1,45.5,141.6765,Medio,0.95,62,75,26.1,81,79,0.15,4327,Medio,8.58,2.8,2.9,10.2,Alto,69.8
Azerbaijan,Asia,Developing,2008,36.8,42.7,139.7585,Medio,1.12,68,79,26.2,85,81,0.12,4693,Medio,8.76,2.8,2.9,10.2,Alto,70.2
Azerbaijan,Asia,Developing,2009,34.7,39.9,137.841,Medio,1.92,74,83,26.3,84,81,0.1,5024,Medio,8.95,2.8,2.9,10.7,Alto,70.6
Azerbaijan,Asia,Developing,2010,32.5,37.3,135.9235,Medio,0.99,80,89,26.4,85,81,0.09,5215,Medio,9.05,2.8,2.9,10.7,Alto,70.9
Azerbaijan,Asia,Developing,2011,30.5,34.9,134.006,Medio,0.6,84,92,26.5,91,87,0.08,5153,Medio,9.17,2.8,2.9,10.7,Alto,71.2
Azerbaijan,Asia,Developing,2012,28.5,32.5,132.0885,Medio,0.52,88,95,26.6,92,89,0.07,5195,Medio,9.3,2.8,2.8,10.7,Alto,71.5
Azerbaijan,Asia,Developing,2013,26.7,30.3,129.6915,Medio,0.52,93,98,26.7,96,93,0.06,5426,Medio,9.42,2.8,2.8,10.8,Alto,71.8
Azerbaijan,Asia,Developing,2014,24.9,28.2,127.294,Bajo,0.36,94,98,26.8,97,94,0.05,5506,Medio,9.54,2.8,2.9,10.7,Alto,72
Azerbaijan,Asia,Developing,2015,23.3,26.3,124.897,Bajo,0.51,96,98,26.9,98,96,0.05,5500,Medio,9.65,2.8,2.9,10.7,Alto,72.3
